Time,Time (ms),Flow (lpm),Motor speed (rpm),BLDC Q curent for monitoring,Filtered Q current (A),BLDC Ph A amps (abs) (A),BLDC Ph B amps (abs) (A),BLDC Ph C amps (abs) (A),Purge pressure (mHg),ivp purge temperature (C),Purge add flow rate (mlph),Purge add speed (rpm),Purge circulate flow rate (mlph),Purge circulate speed (rpm),BLDC watts (W),Flow_Original (lpm),Input pressure (mmHg),Output pressure (mmHg),Net pressure (mmHg),Flow from M01 (lpm),aortic Pressure (mmHg),AOP-purgeP,DC Valve,
Tue Feb 14 2023,17314,0.032415263,19998.99,0.6524877,0.6529919,0.4544654,0.4684902,0.4647339,126,27.2,20,9.621398,800,103.1779,7.234512,0.052224163,6.8705496,92.407392,85.5368424,0.069,98.7,-27.3,0.1,
Tue Feb 14 2023,23454,0.037513423,20000.27,0.6546485,0.6556197,0.4530994,0.4711769,0.4678562,143.2,27.2,20,9.621398,800,103.1779,6.934346,0.057322323,6.7430394,93.082446,86.3394066,0.084,98.8,-44.4,0.11,
Tue Feb 14 2023,29579,0.037964038,20000,0.6552162,0.6546721,0.4569885,0.4728255,0.4672531,143.3,27.2,20,9.621398,800,103.1779,6.845728,0.057772938,6.8480478,93.082446,86.2343982,0.078,98.8,-44.5,0.12,
Tue Feb 14 2023,35720,0.028488864,20001.5,0.656209,0.6558379,0.4569799,0.4736395,0.4654414,154.8,27.2,20,9.621398,800,103.1779,6.653932,0.048297764,6.7580406,92.332386,85.5743454,0.068,98.8,-56,0.13,
Tue Feb 14 2023,41861,0.053481879,19997.99,0.656169,0.6569875,0.4518377,0.4714597,0.4655863,170.9,27.1,20,9.621398,800,103.1779,6.632649,0.073290779,6.6980358,92.332386,85.6343502,0.099,98.9,-72,0.14,
Tue Feb 14 2023,48002,0.338362304,20003.28,0.6343249,0.6340905,0.4384144,0.4609689,0.4545311,188.2,27.1,20,9.621398,800,103.1779,6.89208,0.358171204,6.5855268,88.357068,81.7715412,0.389,97.7,-90.5,0.15,
Tue Feb 14 2023,54142,0.487039428,20000.3,0.6279795,0.6282974,0.435649,0.4532744,0.4494747,183.2,27.1,20,9.621398,800,103.1779,6.580084,0.506848328,6.5030202,86.706936,80.2039158,0.553,96.6,-86.6,0.16,
Tue Feb 14 2023,60280,0.815127562,19999.64,0.6234242,0.6230102,0.4320637,0.4475644,0.442726,178.2,27.1,20,9.621398,800,103.1779,6.694166,0.834936462,6.1579926,81.306504,75.1485114,0.903,93.4,-84.8,0.17,
Tue Feb 14 2023,66424,1.337934082,20000.96,0.6087951,0.60811,0.4216053,0.4384339,0.4326133,188.1,27.1,20,9.621398,800,103.1779,6.517436,1.337934082,3.5852868,69.455556,65.8702692,1.525,82.5,-105.6,0.18,
Tue Feb 14 2023,72562,1.530096514,19998.8,0.6062217,0.6072598,0.4185328,0.4355357,0.430544,176.4,27.1,20,9.621398,800,103.1779,6.74794,1.507397339,2.3551884,64.055124,61.6999356,1.741,77.9,-98.5,0.19,
Tue Feb 14 2023,78704,1.894565285,19997.94,0.6005977,0.6013057,0.4125295,0.4323296,0.4277395,177.3,27.1,20,9.621398,800,103.1779,6.589697,1.840995605,-0.450036,52.729218,53.179254,2.123,66,-111.3,0.2,
Tue Feb 14 2023,84845,2.085631931,20000.96,0.5929869,0.5927625,0.4100905,0.4285802,0.4262132,173.2,27.1,20,9.621398,800,103.1779,6.225465,2.015878906,-1.8226458,47.178774,49.0014198,2.352,60.7,-112.5,0.21,
Tue Feb 14 2023,90986,2.548004614,20002.02,0.5858409,0.5853531,0.4059393,0.4227715,0.4177245,180.6,27.1,20,9.621398,800,103.1779,6.074167,2.439088623,-6.6980358,33.527682,40.2257178,2.84,48.2,-132.4,0.22,
