Time,Time (ms),Flow (lpm),Motor speed (rpm),BLDC Q curent for monitoring,Filtered Q current (A),BLDC Ph A amps (abs) (A),BLDC Ph B amps (abs) (A),BLDC Ph C amps (abs) (A),Purge pressure (mHg),ivp purge temperature (C),Purge add flow rate (mlph),Purge add speed (rpm),Purge circulate flow rate (mlph),Purge circulate speed (rpm),BLDC watts (W),Flow_Original (lpm),Input pressure (mmHg),Output pressure (mmHg),Net pressure (mmHg),Flow from M01 (lpm),aortic Pressure (mmHg),AOP-purgeP,DC Valve
Tue Feb 14 2023,1408132,0.021482001,24999.55,0.8873583,0.8874915,0.6103206,0.6378577,0.6317455,110.8,27,20,9.621398,800,103.1779,11.0872,0.041290901,6.1729938,140.711256,134.5382622,0.059,145.3,34.5,0.1
Tue Feb 14 2023,1414274,0.032966376,25002.08,0.8864454,0.8868896,0.6144398,0.6355743,0.6287276,114.9,27,20,9.621398,800,103.1779,11.66456,0.052775276,6.1654932,141.611328,135.4458348,0.063,145.8,30.9,0.11
Tue Feb 14 2023,1420414,0.03167948,24999.49,0.8869578,0.8873556,0.6146756,0.6381246,0.6340137,134.6,27,20,9.621398,800,103.1779,12.03799,0.05148838,6.1654932,140.26122,134.0957268,0.065,145.8,11.2,0.12
Tue Feb 14 2023,1426553,0.029928981,24996.87,0.8880311,0.888955,0.6134207,0.6365178,0.6295775,135.7,27,20,9.621398,800,103.1779,11.42725,0.049737881,6.225498,141.311304,135.085806,0.061,146.1,10.4,0.13
Tue Feb 14 2023,1432696,0.040868113,25001.33,0.8873633,0.8871564,0.6138138,0.637459,0.6329724,156.4,27,20,9.621398,800,103.1779,11.8371,0.060677013,6.1729938,140.036202,133.8632082,0.07,146,-10.4,0.14
Tue Feb 14 2023,1438835,0.222371474,24998.35,0.8857238,0.8862674,0.6096222,0.6363218,0.6311333,165.8,27,20,9.621398,800,103.1779,10.87514,0.242180374,6.2029962,137.26098,131.0579838,0.263,145.6,-20.2,0.15
Tue Feb 14 2023,1444977,0.486318725,25002.15,0.8774117,0.8774746,0.6104512,0.6311805,0.6270577,171.6,27,20,9.621398,800,103.1779,11.34154,0.506127625,5.6179494,132.460596,126.8426466,0.571,144.4,-27.2,0.16
Tue Feb 14 2023,1451117,0.844474425,25000.84,0.8656282,0.8649942,0.5994281,0.6218078,0.6189611,173.7,27,20,9.621398,800,103.1779,10.88481,0.864283325,4.5453636,125.860068,121.3147044,0.946,142,-31.7,0.17
Tue Feb 14 2023,1457258,1.211837769,24995.6,0.8537297,0.8553184,0.5901441,0.6140655,0.6055664,174.8,27,20,9.621398,800,103.1779,10.50637,1.211837769,2.5577046,117.309384,114.7516794,1.364,135.8,-39,0.18
Tue Feb 14 2023,1463399,1.588065708,25001.95,0.8427331,0.8426366,0.5846087,0.6078021,0.5994837,178.3,27.1,20,9.621398,800,103.1779,11.13598,1.560456543,-0.2850228,107.558604,107.8436268,1.815,125.2,-53.1,0.19
Tue Feb 14 2023,1469529,1.980598782,25000.32,0.8340633,0.8336973,0.5780755,0.5996771,0.5949197,181.4,27.1,20,9.621398,800,103.1779,10.83258,1.919742065,-3.525282,96.307704,99.832986,2.236,115.2,-66.2,0.2
Tue Feb 14 2023,1475664,2.179065532,25001.09,0.8239073,0.8246407,0.5737626,0.5948725,0.5867471,181.4,27.1,20,9.621398,800,103.1779,11.33619,2.101398682,-5.437935,89.332146,94.770081,2.436,108.5,-72.9,0.21
Tue Feb 14 2023,1481805,2.665342018,25004.26,0.8083694,0.8079349,0.5612358,0.5867404,0.5757798,179.1,27.1,20,9.621398,800,103.1779,10.03781,2.546487549,-11.1158892,72.530802,83.6466912,2.958,91.8,-87.3,0.22
Tue Feb 14 2023,1487944,2.839043018,25003.26,0.8057027,0.8050379,0.557042,0.5785247,0.5762068,172.6,27.1,20,9.621398,800,103.1779,10.36505,2.705476074,-13.0060404,66.455316,79.4613564,3.156,86.3,-86.3,0.23
Tue Feb 14 2023,1494083,3.130631425,24999.34,0.8012074,0.8017411,0.5567099,0.5773654,0.5673543,161.5,27.1,20,9.621398,800,103.1779,10.3833,2.972366943,-16.5688254,56.479518,73.0483434,3.475,75.9,-85.6,0.24
Tue Feb 14 2023,1500211,3.408228358,24998.59,0.7961825,0.7960852,0.5507361,0.5704993,0.5694461,170.4,27.1,20,9.621398,800,103.1779,10.10778,3.226451416,-20.4091326,47.853828,68.2629606,3.736,67.2,-103.2,0.25
Tue Feb 14 2023,1506351,3.50628124,24999.94,0.7952448,0.7956982,0.5516545,0.5735069,0.565794,170.2,27.1,20,9.621398,800,103.1779,10.36368,3.316199219,-22.6593126,43.428474,66.0877866,3.883,62.6,-107.6,0.26
Tue Feb 14 2023,1512492,3.695684539,24996.38,0.7968506,0.7979099,0.5505341,0.5669202,0.5677112,155.9,27.1,20,9.621398,800,103.1779,10.2692,3.489560059,-26.2671012,35.477838,61.7449392,4.097,55.3,-100.6,0.27
Tue Feb 14 2023,1518631,3.875759655,25001.41,0.7928654,0.7922966,0.5456849,0.5710933,0.5630783,157.8,27.1,20,9.621398,800,103.1779,10.44826,3.654382813,-28.9448154,27.677214,56.6220294,4.295,48.2,-109.6,0.28
Tue Feb 14 2023,1524774,4.065181893,24999.44,0.788931,0.7887253,0.5453746,0.5685344,0.5632986,160.3,27.1,20,9.621398,800,103.1779,10.27413,3.827760986,-32.027562,20.25162,52.279182,4.451,40.6,-119.7,0.29
Tue Feb 14 2023,1530914,4.181154158,25000.87,0.7889358,0.7884426,0.5451252,0.5700941,0.5612503,152.2,27.1,20,9.621398,800,103.1779,10.07136,3.9339104,-33.5201814,15.676254,49.1964354,4.619,35.4,-116.8,0.3
Tue Feb 14 2023,1537039,4.25451104,24999.43,0.7868707,0.787,0.543424,0.5652895,0.5623279,137.2,27.1,20,9.621398,800,103.1779,10.57611,4.001053955,-35.0503038,12.300984,47.3512878,4.685,32.8,-104.4,0.31
Tue Feb 14 2023,1543163,4.405214863,24999.06,0.78358,0.7838733,0.5443597,0.5624366,0.5582136,140.6,27.1,20,9.621398,800,103.1779,9.678927,4.138993164,-37.6455114,8.025642,45.6711534,4.828,27,-113.6,0.32
Tue Feb 14 2023,1549291,4.525131041,24999.78,0.7819444,0.7822146,0.5417967,0.5629081,0.5576419,134.4,27.1,20,9.621398,800,103.1779,10.25993,4.248752441,-39.678174,4.50036,44.178534,4.98,22.9,-111.5,0.33
Tue Feb 14 2023,1555424,4.62941827,25004.33,0.778387,0.7775242,0.538746,0.562345,0.5567262,128.2,27.2,20,9.621398,800,103.1779,10.21748,4.344206543,-41.6433312,0.075006,41.7183372,5.114,18.8,-109.4,0.34
Tue Feb 14 2023,1561554,4.681301554,25001.74,0.7781384,0.7775481,0.537677,0.5641006,0.5548257,133.7,27.2,20,9.621398,800,103.1779,10.17815,4.391695313,-43.240959,-5.025402,38.215557,5.138,15.8,-117.9,0.35
Tue Feb 14 2023,1567696,4.768707792,25001.35,0.7768473,0.7771009,0.5369313,0.5609298,0.5521504,130.5,27.2,20,9.621398,800,103.1779,10.53217,4.471698242,-43.8635088,-5.175414,38.6880948,5.24,13.2,-117.3,0.36
Tue Feb 14 2023,1573839,4.848818885,25002.45,0.7736269,0.773674,0.5388032,0.5591623,0.5514206,131.8,27.2,20,9.621398,800,103.1779,10.24068,4.545023926,-46.3387068,-10.050804,36.2879028,5.331,10.4,-121.4,0.37
Tue Feb 14 2023,1579980,4.881441386,24999.43,0.7739487,0.7739213,0.5372558,0.5562232,0.5510585,130.2,27.2,20,9.621398,800,103.1779,10.19304,4.574883301,-47.1637728,-11.025882,36.1378908,5.364,8.3,-121.9,0.38
Tue Feb 14 2023,1586121,5.063259335,25001.79,0.7737126,0.7732764,0.5354254,0.5585185,0.5512784,120,27.2,20,9.621398,800,103.1779,9.723095,4.74130127,-49.5714654,-15.976278,33.5951874,5.485,3.7,-116.3,0.39
Tue Feb 14 2023,1592250,5.003572514,24998.13,0.7744735,0.7750332,0.5344002,0.5553296,0.5518084,118,27.2,20,9.621398,800,103.1779,9.594248,4.686669922,-48.6263898,-16.12629,32.5000998,5.49,1.8,-116.2,0.4
Tue Feb 14 2023,1598383,5.116001499,24997.31,0.7722116,0.7729914,0.5328206,0.5560617,0.5466367,118,27.2,20,9.621398,800,103.1779,9.702547,4.789576172,-51.9941592,-20.551644,31.4425152,5.609,-1.5,-119.5,0.41
Tue Feb 14 2023,1604529,5.232123134,25002.82,0.7684651,0.7681713,0.530747,0.554606,0.5499311,115.3,27.2,20,9.621398,800,103.1779,10.16356,4.895862305,-54.5818662,-25.577046,29.0048202,5.736,-5.9,-121.2,0.42
Tue Feb 14 2023,1610680,5.236586643,25002.66,0.7673323,0.7676436,0.5325729,0.5504915,0.5447371,104.5,27.2,20,9.621398,800,103.1779,10.23359,4.899947754,-54.679374,-27.977238,26.702136,5.763,-8,-112.5,0.43
Tue Feb 14 2023,1616822,5.306918774,25000.19,0.7662938,0.7663293,0.5307777,0.5491486,0.5460187,105,27.3,20,9.621398,800,103.1779,10.1655,4.964322754,-55.729458,-28.277262,27.452196,5.824,-9.7,-114.7,0.44
Tue Feb 14 2023,1622963,5.398509518,25000.34,0.7665449,0.7667845,0.5303168,0.5522273,0.5459614,102.1,27.3,20,9.621398,800,103.1779,9.855675,5.048155762,-56.4720174,-32.402592,24.0694254,5.887,-12,-114.1,0.45
Tue Feb 14 2023,1629103,5.358620679,25002.15,0.7645326,0.7647653,0.5296444,0.5537632,0.5489091,98.7,27.3,20,9.621398,800,103.1779,9.410711,5.011645508,-59.104728,-31.12749,27.977238,5.922,-13.8,-112.5,0.46
