Time,Time ms,Motor speed rpm,BLDC Q curent for monitoring,Filtered Q current A,BLDC Ph A amps abs A,BLDC Ph B amps abs A,BLDC Ph C amps abs A,Purge pressure mHg,ivp purge temperature C,Purge add flow rate mlph,Purge add speed rpm,Purge circulate flow rate mlph,Purge circulate speed rpm,BLDC watts W,Flow_Original lpm,Input pressure mmHg,Output pressure mmHg,Net pressure mmHg,Flow lpm,Flow from M01 lpm,aortic Pressure mmHg,DC Valve
Tue Feb 14 2023,458222,25002.49,0.8927693,0.8919821,0.6169358,0.640802,0.6382993,155,26.5,20,9.621398,800,103.1779,11.84737,0.053955318,5.2579206,137.26098,132.0030594,0.034146418,0.055,-1.2,0.1
Tue Feb 14 2023,464361,24999.16,0.893131,0.8938563,0.6222589,0.6441616,0.638145,149.8,26.6,20,9.621398,800,103.1779,11.47978,0.0592253,5.2804224,137.410992,132.1305696,0.0394164,0.065,-1.1,0.11
Tue Feb 14 2023,470503,24999.23,0.8934288,0.8935015,0.6192331,0.6416183,0.6336514,159.8,26.5,20,9.621398,800,103.1779,11.21889,0.055461445,5.2654212,136.810944,131.5455228,0.035652545,0.081,-1.1,0.12
Tue Feb 14 2023,476643,24997.56,0.8979235,0.8979221,0.6222678,0.6414719,0.6385922,163.9,26.6,20,9.621398,800,103.1779,12.12467,0.061646107,5.3029242,137.335986,132.0330618,0.041837207,0.073,-1.1,0.13
Tue Feb 14 2023,482784,25003.38,0.8937705,0.8928208,0.6208959,0.6438004,0.6369019,167,26.6,20,9.621398,800,103.1779,11.24776,0.066411659,5.325426,136.435914,131.110488,0.046602759,0.076,-1.2,0.14
Tue Feb 14 2023,488925,25000.33,0.8883852,0.8884948,0.6158234,0.6404407,0.6326146,167.1,26.6,20,9.621398,800,103.1779,11.61801,0.243288437,5.475438,133.735698,128.26026,0.223479537,0.268,-1.1,0.15
Tue Feb 14 2023,495063,25001.33,0.8792256,0.8794489,0.6102496,0.6335925,0.6281189,172,26.6,20,9.621398,800,103.1779,11.85607,0.530180603,4.9428954,128.560284,123.6173886,0.510371703,0.577,-1.3,0.16
Tue Feb 14 2023,501205,25000.18,0.8732628,0.8734892,0.6052895,0.6270255,0.6206528,163.8,26.6,20,9.621398,800,103.1779,11.4575,0.849712036,3.6452916,122.709816,119.0645244,0.829903136,0.937,-1.1,0.17
Tue Feb 14 2023,507346,25003.66,0.8622597,0.8615501,0.5998319,0.6217787,0.6151655,168.3,26.6,20,9.621398,800,103.1779,11.29208,1.196011597,1.5901272,114.684174,113.0940468,1.196011597,1.365,-1.1,0.18
Tue Feb 14 2023,513487,24997.83,0.8625261,0.8627585,0.5912972,0.6182946,0.6103278,163.5,26.6,20,9.621398,800,103.1779,11.40799,1.560600952,-1.1550924,107.25858,108.4136724,1.588223481,1.802,-1.2,0.19
Tue Feb 14 2023,519627,25002.53,0.8469958,0.8463608,0.5859196,0.6081383,0.6032379,179.7,26.6,20,9.621398,800,103.1779,11.2047,1.907840332,-4.5828666,96.082686,100.6655526,1.967595687,2.223,-1.2,0.2
Tue Feb 14 2023,525768,25007.9,0.8365168,0.8347957,0.5780883,0.6020378,0.5950188,172.3,26.6,20,9.621398,800,103.1779,10.63344,2.226214355,-8.1831546,85.281822,93.4649766,2.315431395,2.582,-1.1,0.21
Tue Feb 14 2023,531909,25000.62,0.828199,0.8278968,0.5732236,0.5995318,0.5932707,179.8,26.6,20,9.621398,800,103.1779,10.69512,2.532351563,-12.113469,75.75606,87.869529,2.649897916,2.94,-1.2,0.22
Tue Feb 14 2023,538038,25001.17,0.8227216,0.8234029,0.570426,0.5915101,0.5853832,165.5,26.6,20,9.621398,800,103.1779,10.13337,2.816542236,-16.238799,65.780262,82.019061,2.960387017,3.267,-1.2,0.23
Tue Feb 14 2023,544175,24999.53,0.8187484,0.8200715,0.5657894,0.587402,0.5844425,172.1,26.6,20,9.621398,800,103.1779,10.58481,2.925508545,-18.1589526,60.979878,79.1388306,3.079436846,3.431,-1.1,0.24
Tue Feb 14 2023,550315,25004.89,0.8170834,0.8151716,0.566143,0.5877706,0.5822527,163,26.6,20,9.621398,800,103.1779,11.0416,3.170542969,-22.2542802,51.229098,73.4833782,3.347146257,3.69,-1.1,0.25
Tue Feb 14 2023,556456,25002.47,0.8076004,0.8069414,0.5584534,0.5846096,0.5737882,173.1,26.7,20,9.621398,800,103.1779,10.18449,3.391697021,-25.7120568,42.75342,68.4654768,3.588765456,3.92,-1.2,0.26
Tue Feb 14 2023,562597,24993.95,0.8086874,0.8111952,0.5537373,0.5801722,0.5729123,169.1,26.7,20,9.621398,800,103.1779,10.41878,3.530216064,-29.3873508,34.577766,63.9651168,3.740102769,4.126,-1.1,0.27
Tue Feb 14 2023,568737,25000.8,0.8039695,0.8039836,0.5542857,0.5811841,0.5707126,175.9,26.7,20,9.621398,800,103.1779,9.98218,3.613712646,-30.6099486,31.952556,62.5625046,3.831325955,4.221,-1.2,0.28
Tue Feb 14 2023,574877,25000.16,0.8042619,0.8043535,0.5590348,0.5782267,0.5742135,171.3,26.7,20,9.621398,800,103.1779,10.12812,3.780767334,-33.4601766,24.901992,58.3621686,4.013839543,4.413,-1.2,0.29
Tue Feb 14 2023,581019,25000.33,0.798933,0.798362,0.5529854,0.573226,0.5675124,170.5,26.7,20,9.621398,800,103.1779,10.40277,3.897390625,-36.3629088,18.601488,54.9643968,4.141254916,4.57,-1.2,0.3
Tue Feb 14 2023,587160,25000.34,0.7940166,0.7940913,0.5479282,0.5765388,0.5684506,156,26.7,20,9.621398,800,103.1779,10.0229,4.001407227,-38.4180732,14.026122,52.4441952,4.254897003,4.689,-1.2,0.31
Tue Feb 14 2023,593300,25001.72,0.7910276,0.7910659,0.5444906,0.5711153,0.5627681,165.9,26.7,20,9.621398,800,103.1779,10.62734,4.155081543,-41.4483156,7.425594,48.8739096,4.422792028,4.86,-1.3,0.32
Tue Feb 14 2023,599440,24999.4,0.7907542,0.7908567,0.5488085,0.5684271,0.5629811,154.8,26.7,20,9.621398,800,103.1779,10.37378,4.216817871,-42.2208774,6.450516,48.6713934,4.49024131,4.939,-1.2,0.33
Tue Feb 14 2023,605566,24998.97,0.7876691,0.788458,0.5456294,0.5666599,0.5608096,164.1,26.7,20,9.621398,800,103.1779,10.03551,4.302089355,-45.1461114,1.200096,46.3462074,4.583403644,5.027,-1.2,0.34
Tue Feb 14 2023,611706,24999.24,0.7864947,0.7871557,0.5478188,0.5689262,0.5661949,162.2,26.7,20,9.621398,800,103.1779,9.856233,4.395703613,-46.1061882,0.075006,46.1811942,4.685680775,5.107,-1.2,0.35
Tue Feb 14 2023,617846,25002.31,0.7842002,0.7836847,0.542039,0.5653955,0.5606318,152.6,26.7,20,9.621398,800,103.1779,9.776588,4.439352539,-47.3737896,-1.950156,45.4236336,4.733368883,5.201,-1.2,0.36
Tue Feb 14 2023,623987,24999.34,0.7851221,0.7853443,0.5398431,0.5648447,0.55963,149.3,26.7,20,9.621398,800,103.1779,9.767868,4.574391113,-48.8964114,-6.600528,42.2958834,4.880903653,5.274,-1.2,0.37
Tue Feb 14 2023,630128,24998.98,0.7883728,0.7878855,0.5443382,0.5672289,0.5595168,142.5,26.7,20,9.621398,800,103.1779,9.813939,4.595129883,-50.0515038,-9.525762,40.5257418,4.903561546,5.36,-1.2,0.38
Tue Feb 14 2023,636269,25000.65,0.7842114,0.7851683,0.5427433,0.5650305,0.5584611,148.4,26.8,20,9.621398,800,103.1779,10.25731,4.616165039,-52.4141928,-8.925714,43.4884788,4.926543253,5.415,-1.2,0.39
Tue Feb 14 2023,642409,25005.18,0.779631,0.7794008,0.5400943,0.5625984,0.5553213,143.9,26.8,20,9.621398,800,103.1779,10.4729,4.750541992,-53.6592924,-11.775942,41.8833504,5.073355176,5.539,-1.2,0.4
Tue Feb 14 2023,648534,24999.21,0.7776331,0.7784142,0.5395576,0.5611512,0.5545438,148,26.8,20,9.621398,800,103.1779,9.498579,4.833702637,-55.9319742,-16.351308,39.5806662,5.164211337,5.627,-1.2,0.41
Tue Feb 14 2023,654675,25006.6,0.7763468,0.7760847,0.5398355,0.5616509,0.5557579,145.2,26.8,20,9.621398,800,103.1779,10.08525,4.886587891,-56.4270138,-21.451716,34.9752978,5.221990485,5.706,-1,0.42
Tue Feb 14 2023,660814,25000.54,0.7737729,0.7741179,0.5357133,0.5583265,0.553855,145.9,26.8,20,9.621398,800,103.1779,10.01274,4.942555176,-58.7822022,-23.776902,35.0053002,5.283136869,5.74,-1.1,0.43
