Time,Time_ms,Motor_speed_rpm,BLDC_Q_curent_for_monitoring,Filtered_Q_current_A,BLDC_Ph_A_amps_abs_A,BLDC_Ph_B_amps_abs_A,BLDC_Ph_C_amps_abs_A,Purge_pressure_mHg,ivp_purge_temperature_C,Purge_add_flow_rate_mlph,Purge_add_speed_rpm,Purge_circulate_flow_rate_mlph,Purge_circulate_speed_rpm,BLDC_watts_W,Flow_Original_lpm,Input_pressure_mmHg,Output_pressure_mmHg,Net_pressure_mmHg,Flow_lpm,Flow_from_M01_lpm,aortic_Pressure_mmHg,DC_Valve,Input_pressure_from_M04_mmHg,Output_pressure_from_M04_mmHg,Net_pressure_from_M04_mmHg
Thu_Mar_02_2023,72028,0,0,-4.34958E-05,0.01521792,0.0150664,0.01515562,169.4,27.1,20,9.621398,800,103.1779,0.92395,0,12.8935314,14.026122,3.1725906,0,0.065654834,-0.8,0.1,-5.1,11,-1.2
Thu_Mar_02_2023,133009,0,0,-8.24653E-06,0.01513269,0.01533071,0.01519839,172.2,27.1,20,9.621398,800,103.1779,0.4922312,0,12.5185014,14.026122,3.5476206,0,0.051832764,-0.8,0.11,-5.1,11.7,-0.5
Thu_Mar_02_2023,145239,0,0,-3.32986E-05,0.01491913,0.0151045,0.01511613,172.6,27.1,20,9.621398,800,103.1779,0.6338717,0.030664669,12.4359948,14.101128,3.7051332,0.010855769,0.025916382,-0.8,0.12,-5.1,11.8,-0.4
Thu_Mar_02_2023,151380,0,0,-2.93053E-05,0.01514171,0.01520155,0.01491186,174.3,27.1,20,9.621398,800,103.1779,0.7034161,0.134465027,12.3834906,13.576086,3.2325954,0.114656127,0.164137086,-0.8,0.13,-5.1,11.8,-0.4
Thu_Mar_02_2023,157524,0,0,1.52988E-05,0.01523361,0.01490096,0.0152059,172.7,27.1,20,9.621398,800,103.1779,0.7860317,0.346756012,12.3234858,12.150972,1.8674862,0.326947112,0.226336403,-0.8,0.14,-5.1,8.4,-3.8
Thu_Mar_02_2023,163662,0,0,2.84777E-06,0.01514197,0.01487729,0.01501764,171.7,27.1,20,9.621398,800,103.1779,0.9494302,0.614423889,12.2484798,9.450756,-0.7577238,0.594614989,0.509688846,-0.9,0.15,-5.1,8.1,-4.1
Thu_Mar_02_2023,169803,0,0,-3.89149E-06,0.01490792,0.01497553,0.01487322,171.3,27.1,20,9.621398,800,103.1779,0.8208835,0.848889099,12.0834666,6.450516,-3.5929506,0.829080199,0.831051983,-0.8,0.16,-5.1,4.7,-7.5
Thu_Mar_02_2023,175942,0,0,4.00768E-05,0.0150118,0.01482116,0.0147544,168.3,27.1,20,9.621398,800,103.1779,0.6439641,1.130769775,11.475918,2.775222,-6.660696,1.130769775,1.09367132,-0.8,0.17,-5.1,1.1,-11.1
Thu_Mar_02_2023,182076,0,0,2.80978E-06,0.01501888,0.0149312,0.01512777,164.7,27.1,20,9.621398,800,103.1779,0.4629829,1.434151123,9.5332626,-3.225258,-10.7185206,1.434151123,1.415034457,-0.9,0.18,-5.1,-4.9,-17.1
Thu_Mar_02_2023,188208,0,0,-9.35254E-06,0.01512049,0.01508535,0.01528881,161.1,27.1,20,9.621398,800,103.1779,0.8559969,1.579516724,6.37551,-6.150492,-10.486002,1.608889679,1.551527402,-0.9,0.19,-5.1,-7.8,-20
Thu_Mar_02_2023,194349,0,0,-4.44849E-07,0.01576261,0.01497703,0.01515268,159.4,27.1,20,9.621398,800,103.1779,0.6914455,1.876526489,3.862809,-12.676014,-14.498823,1.933384125,1.897079162,-0.8,0.2,-5.1,-13.7,-25.9
Thu_Mar_02_2023,200490,0,0,8.34923E-06,0.01536183,0.01487588,0.01493154,157,27.1,20,9.621398,800,103.1779,0.8134058,2.131564209,0.5475438,-18.301464,-16.8090078,2.212022516,2.047394178,-0.8,0.21,-5.1,-19.8,-32
Thu_Mar_02_2023,206630,0,0,3.62566E-05,0.01520558,0.01539178,0.01516574,149.7,27.1,20,9.621398,800,103.1779,0.8228235,2.309811035,-2.2351788,-22.87683,-18.6016512,2.406763941,2.278913857,-0.8,0.22,-5.1,-24.5,-36.7
Thu_Mar_02_2023,212770,0,0,1.00855E-05,0.01496789,0.01499747,0.01484426,146.2,27.1,20,9.621398,800,103.1779,0.9539126,2.563813232,-4.8903912,-31.052484,-24.1220928,2.684270985,2.501794742,-0.8,0.23,-5.1,-32.2,-44.4
Thu_Mar_02_2023,218912,0,0,-4.76897E-05,0.01517642,0.01511789,0.01520038,143.6,27.1,20,9.621398,800,103.1779,0.9314142,2.250141357,-8.3856708,-37.202976,-26.762304,2.341572553,2.771325115,-0.9,0.24,-5.1,-37.8,-50
Thu_Mar_02_2023,231114,0,0,6.54361E-05,0.01547963,0.01471293,0.01527564,135.3,27.1,20,9.621398,800,103.1779,0.7210861,2.937051758,-13.2460596,-43.353468,-28.0674084,3.092048244,2.900907025,-0.9,0.25,-5.1,-44.5,-56.7
Thu_Mar_02_2023,237255,0,0,-2.8161E-05,0.01530171,0.01520529,0.01524796,134.5,27.1,20,9.621398,800,103.1779,0.7120797,3.102757324,-15.9462756,-48.903912,-30.9176364,3.273087867,3.08059394,-0.8,0.26,-5.1,-49.8,-62
Thu_Mar_02_2023,243396,0,0,-2.91158E-05,0.01493943,0.01530577,0.01526388,131.5,27.1,20,9.621398,800,103.1779,0.4255866,3.236052002,-20.139111,-53.854308,-31.675197,3.418717363,3.122060152,-0.8,0.27,-5.1,-55.3,-67.5
Thu_Mar_02_2023,249525,0,0,3.93103E-06,0.01516227,0.01487114,0.01513564,131.5,27.1,20,9.621398,800,103.1779,0.8979615,3.286328857,-21.2717016,-55.354428,-32.0427264,3.473646736,3.192898262,-0.8,0.28,-5.1,-55.8,-68
Thu_Mar_02_2023,255661,0,0,-3.17242E-05,0.01513851,0.01504837,0.01498228,130.3,27.1,20,9.621398,800,103.1779,0.7116486,3.394307861,-23.3718696,-59.929794,-34.5179244,3.591617897,3.260280856,-0.9,0.29,-5.1,-59.2,-71.4
Thu_Mar_02_2023,261802,0,0,-3.39952E-05,0.01518045,0.01514896,0.01526527,128,27.1,20,9.621398,800,103.1779,0.6309898,3.486509033,-24.3319464,-63.830106,-37.4581596,3.692351178,3.386407248,-0.8,0.3,-5.1,-65,-77.2
Thu_Mar_02_2023,267943,0,0,3.4657E-05,0.01499222,0.01524168,0.01527499,127.2,27.1,20,9.621398,800,103.1779,0.7653137,3.54854541,-25.7120568,-67.355388,-39.6033312,3.760128275,3.472795188,-0.8,0.31,-5.1,-68.7,-80.9
Thu_Mar_02_2023,274084,0,0,6.90616E-05,0.01521921,0.01509001,0.01484697,123.1,27.1,20,9.621398,800,103.1779,0.5143826,3.605422363,-26.9571564,-69.455556,-40.4583996,3.822268506,3.553999852,-0.8,0.32,-5.1,-69.7,-81.9
