Time,Time_ms,Motor_speed_rpm,BLDC_Q_curent_for_monitoring,Filtered_Q_current_A,BLDC_Ph_A_amps_abs_A,BLDC_Ph_B_amps_abs_A,BLDC_Ph_C_amps_abs_A,Purge_pressure_mHg,ivp_purge_temperature_C,Purge_add_flow_rate_mlph,Purge_add_speed_rpm,Purge_circulate_flow_rate_mlph,Purge_circulate_speed_rpm,BLDC_watts_W,Flow_Original_lpm,Input_pressure_mmHg,Output_pressure_mmHg,Net_pressure_mmHg,Flow_lpm,Flow_from_M01_lpm,aortic_Pressure_mmHg,DC_Valve,Input_pressure_from_M04_mmHg,Output_pressure_from_M04_mmHg,Net_pressure_from_M04_mmHg,Bldc_Kp,Bldc_Ki
Fri_Mar_17_2023,21066.0,0.0,0.0,7.531406e-06,0.01513004,0.01513563,0.01541574,-18.9,24.7,20.0,9.621398,800.0,103.1779,0.8374781,0.0,-0.8025642000000001,0.600048,0.6326122000000001,0.0,0.04664948760030725,-2.4,0.0,7.5,6.6000000000000005,-0.6000000000000002,0.0012,0.024
Fri_Mar_17_2023,28288.0,0.0,0.0,-2.71868e-05,0.01538895,0.01501682,0.01554641,-19.5,24.7,20.0,9.621398,800.0,103.1779,0.5103923,1.5178797607421874,-3.4652772000000005,-15.676254,-12.980976799999999,1.5415489574371106,1.5653494727993842,-2.4,0.1,3.6000000000000005,-9.9,-12.9,0.0012,0.024
Fri_Mar_17_2023,35538.0,0.0,0.0,2.810417e-05,0.01534718,0.01489618,0.01532527,-18.9,24.7,20.0,9.621398,800.0,103.1779,0.4520041,3.060936279296875,-14.746179600000001,-60.154812,-46.178632400000005,3.22739678717019,3.125515669200612,-2.4,0.2,-6.9,-55.800000000000004,-48.300000000000004,0.0012,0.024
Fri_Mar_17_2023,42765.0,0.0,0.0,2.476283e-05,0.01557801,0.01548848,0.01545299,-18.6,24.6,20.0,9.621398,800.0,103.1779,0.7413995,3.655264404296875,-21.1216896,-88.73209800000001,-68.38040840000001,3.8767228278126025,3.593738303999485,-2.4,0.30000000000000004,-14.8,-86.0,-70.60000000000001,0.0012,0.024
Fri_Mar_17_2023,49979.0,0.0,0.0,-2.040362e-05,0.01549944,0.01497995,0.01516052,-19.400000000000002,24.6,20.0,9.621398,800.0,103.1779,0.9182231,3.7519345703125,-23.454376200000002,-97.657812,-74.9734358,3.9823386543346446,3.640387791599792,-2.4,0.4,-18.000000000000004,-94.9,-76.30000000000001,0.0012,0.024
Fri_Mar_17_2023,57280.0,0.0,0.0,-3.037187e-05,0.01542225,0.01515066,0.01564383,-19.3,24.6,20.0,9.621398,800.0,103.1779,0.9066998,3.713819091796875,-24.0994278,-94.50756,-71.1781322,3.9406960469757184,3.763058666401226,-2.5,0.5,-14.400000000000002,-86.80000000000001,-71.80000000000001,0.0012,0.024
Fri_Mar_17_2023,64496.0,0.0,0.0,-2.806152e-06,0.0151787,0.01544251,0.01554194,-19.5,24.6,20.0,9.621398,800.0,103.1779,0.6855612,3.69331396484375,-23.071845600000003,-94.43255400000001,-71.4931574,3.918293417288048,3.7544198723991773,-2.4,0.6,-15.0,-89.5,-74.2,0.0012,0.024
Fri_Mar_17_2023,71742.0,0.0,0.0,-3.696011e-05,0.01526179,0.01499284,0.01538498,-19.7,24.6,20.0,9.621398,800.0,103.1779,0.6233619,3.8216494140625,-23.439375000000002,-94.807584,-72.138209,4.058504767903966,3.844263330000509,-2.4,0.7,-15.600000000000001,-91.9,-74.00000000000001,0.0012,0.024
Fri_Mar_17_2023,89206.0,19999.58,0.7989327,0.8013537,0.5537635,0.571072,0.5716862,-19.3,24.5,20.0,9.621398,800.0,103.1779,8.359743,0.040935703277587894,-0.7650612000000001,91.73233800000001,91.72739920000002,0.021126803277587893,0.04492172879989753,-2.3,0.0,5.800000000000001,100.20000000000002,91.9,0.0012,0.024
Fri_Mar_17_2023,95243.0,20001.86,0.7916377,0.792569,0.5464948,0.5724171,0.5658863,-19.5,24.5,20.0,9.621398,800.0,103.1779,7.69813,0.03690720367431641,-0.8475678000000001,91.88235,91.9599178,0.017098303674316407,0.08120466360081938,-2.4,0.000840762,8.5,100.4,92.5,0.0012,0.024
