Time,Time_ms,Motor_speed_rpm,BLDC_Q_curent_for_monitoring,Filtered_Q_current_A,BLDC_Ph_A_amps_abs_A,BLDC_Ph_B_amps_abs_A,BLDC_Ph_C_amps_abs_A,Purge_pressure_mHg,ivp_purge_temperature_C,Purge_add_flow_rate_mlph,Purge_add_speed_rpm,Purge_circulate_flow_rate_mlph,Purge_circulate_speed_rpm,BLDC_watts_W,Flow_Original_lpm,Input_pressure_mmHg,Output_pressure_mmHg,Net_pressure_mmHg,Flow_lpm,Flow_from_M01_lpm,aortic_Pressure_mmHg,DC_Valve,Input_pressure_from_M04_mmHg,Output_pressure_from_M04_mmHg,Net_pressure_from_M04_mmHg,Bldc_Kp,Bldc_Ki
Thu_Mar_16_2023,34267.0,0.0,0.0,2.11345e-05,0.01557822,0.01562363,0.01509203,277.2,23.6,20.0,9.621398,800.0,103.1779,0.6658664,0.03900882720947266,-2.9327346000000003,-3.8253060000000003,0.29742859999999993,0.019199927209472657,0.12958190999999988,-2.7,0.0,6.300000000000001,4.6000000000000005,-0.7000000000000002,0.0012,0.024
Thu_Mar_16_2023,34621.0,0.0,0.0,7.906374e-06,0.01557822,0.01562363,0.01509203,235.7,23.6,20.0,9.621398,800.0,103.1779,0.6658664,0.036637168884277344,-2.925234,-3.9753180000000006,0.13991599999999949,0.016828268884277343,-0.013822070400204849,-2.7,0.015,6.500000000000001,5.5,-8.881784197001252e-16,0.0012,0.024
Thu_Mar_16_2023,40814.0,0.0,0.0,4.838121e-05,0.01532174,0.01502622,0.01525459,230.8,23.7,20.0,9.621398,800.0,103.1779,0.3879581,0.03997426605224609,-3.2627610000000002,-4.050324000000001,0.4024369999999995,0.02016536605224609,0.14340398040020474,-2.7,0.03,6.7,5.5,-0.20000000000000018,0.0012,0.024
Thu_Mar_16_2023,47068.0,0.0,0.0,-2.278405e-08,0.01548275,0.01544537,0.01523876,313.7,23.6,20.0,9.621398,800.0,103.1779,0.4452264,0.21038270568847656,-2.9852388000000003,-4.50036,-0.32512119999999944,0.19057380568847657,0.2868079608004095,-2.7,0.045,6.6000000000000005,5.200000000000001,-0.39999999999999947,0.0012,0.024
Thu_Mar_16_2023,51580.0,0.0,0.0,2.420154e-05,0.01561373,0.01519841,0.01537666,221.0,23.6,20.0,9.621398,800.0,103.1779,0.8075721,0.6087360229492188,-3.6077886,-7.0505640000000005,-2.2527754000000004,0.5889271229492188,0.558066092398668,-2.7,0.06,5.4,2.7,-2.7,0.0012,0.024
Thu_Mar_16_2023,53308.0,0.0,0.0,3.937188e-06,0.01495909,0.01541407,0.01527418,224.1,23.6,20.0,9.621398,800.0,103.1779,0.559899,0.9237035522460938,-4.6353708000000005,-9.075726,-3.250355199999999,0.9038946522460938,0.9779114807998968,-2.7,0.075,5.0,-1.1,-5.200000000000001,0.0012,0.024
Thu_Mar_16_2023,57792.0,0.0,0.0,3.513131e-06,0.01572659,0.0149984,0.01532009,301.3,23.6,20.0,9.621398,800.0,103.1779,0.575803,1.2835147705078125,-5.6404512,-15.226218000000003,-8.395766800000002,1.2835147705078125,1.3666572107998964,-2.7,0.09,3.8000000000000003,-6.300000000000001,-8.700000000000001,0.0012,0.024
Thu_Mar_16_2023,59542.0,0.0,0.0,-3.058657e-05,0.01534432,0.01514081,0.01512486,259.7,23.6,20.0,9.621398,800.0,103.1779,0.8410481,1.5673070068359376,-6.810544800000001,-17.476398,-9.4758532,1.5955501003342485,1.591265854799384,-2.6000000000000005,0.105,2.4000000000000004,-11.4,-12.8,0.0012,0.024
Thu_Mar_16_2023,63979.0,0.0,0.0,-1.289054e-05,0.01572986,0.01517937,0.01552637,277.7,23.6,20.0,9.621398,800.0,103.1779,0.4357909,1.9537017822265625,-8.9782182,-27.827226,-17.659007799999998,2.0177010621944307,2.038755383999486,-2.6000000000000005,0.12,0.5,-19.0,-18.5,0.0012,0.024
Thu_Mar_16_2023,65736.0,0.0,0.0,1.248965e-05,0.01526202,0.01525121,0.0152848,214.5,23.6,20.0,9.621398,800.0,103.1779,0.7331223,2.25134130859375,-10.5233418,-34.652772000000006,-22.939430200000004,2.3428835448418552,2.242630922400203,-2.7,0.135,-1.6,-25.900000000000002,-23.3,0.0012,0.024
Thu_Mar_16_2023,70180.0,0.0,0.0,1.748066e-06,0.01565129,0.01513532,0.01531555,250.7,23.6,20.0,9.621398,800.0,103.1779,0.5186762,2.578518798828125,-13.261060800000001,-42.828426,-28.377365199999996,2.7003373744434884,2.4966114659989738,-2.7,0.15000000000000002,-4.1000000000000005,-34.4,-29.299999999999997,0.0012,0.024
Thu_Mar_16_2023,71933.0,0.0,0.0,1.891666e-05,0.01519368,0.01514375,0.01531489,250.0,23.6,20.0,9.621398,800.0,103.1779,0.8814394,2.707217041015625,-13.163553000000002,-45.903672,-31.550119,2.840945090151453,2.7402254567998954,-2.7,0.16500000000000004,-5.4,-38.5,-33.3,0.0012,0.024
Thu_Mar_16_2023,76389.0,0.0,0.0,3.350492e-05,0.01536074,0.01546841,0.01557297,246.6,23.6,20.0,9.621398,800.0,103.1779,0.6785194,2.966113037109375,-16.2613008,-55.054404000000005,-37.60310320000001,3.1237987950501203,2.8836294372001,-2.7,0.18000000000000005,-7.200000000000001,-46.2,-38.400000000000006,0.0012,0.024
Thu_Mar_16_2023,78134.0,0.0,0.0,5.098897e-07,0.01514194,0.01529494,0.01495738,239.00000000000003,23.6,20.0,9.621398,800.0,103.1779,0.7993968,3.155093994140625,-17.926434,-56.704536000000004,-37.588102000000006,3.3302676654000054,3.1099658399999974,-2.7,0.19500000000000006,-8.5,-51.1,-41.0,0.0012,0.024
Thu_Mar_16_2023,82588.0,0.0,0.0,-4.894065e-05,0.0152381,0.01507575,0.01548079,203.4,23.6,20.0,9.621398,800.0,103.1779,0.764495,3.265360107421875,-18.984018600000002,-64.50516,-44.33114140000001,3.4507375804893208,3.1531598099994853,-2.7,0.21000000000000008,-9.4,-56.70000000000001,-46.30000000000001,0.0012,0.024
Thu_Mar_16_2023,84337.0,0.0,0.0,-2.193366e-06,0.01551471,0.01535188,0.01502796,287.50000000000006,23.6,20.0,9.621398,800.0,103.1779,0.7186282,3.336441162109375,-19.659072600000002,-68.63049000000001,-48.55397920000001,3.5283963313770075,3.3933182832011237,-2.6000000000000005,0.2250000000000001,-9.600000000000001,-58.6,-46.3,0.0012,0.024
Thu_Mar_16_2023,88789.0,0.0,0.0,-1.321685e-05,0.01528072,0.01537841,0.01532921,257.9,23.6,20.0,9.621398,800.0,103.1779,0.7104644,3.482063720703125,-21.489219000000002,-73.280862,-50.601642999999996,3.6874945053022232,3.434784494400202,-2.7,0.2400000000000001,-11.3,-64.3,-51.5,0.0012,0.024
