Time (ms),Motor speed (rpm),BLDC Q curent for monitoring,Filtered Q current (A),BLDC Ph A amps (abs) (A),BLDC Ph B amps (abs) (A),BLDC Ph C amps (abs) (A),Purge pressure (mHg),ivp purge temperature (C),Purge add flow rate (mlph),Purge add speed (rpm),Purge circulate flow rate (mlph),Purge circulate speed (rpm),BLDC watts (W),Flow_Original (lpm),Input pressure (mmHg),Output pressure (mmHg),Net pressure (mmHg),Flow (lpm)
17332,20002.13,0.6393562,0.6393473,0.4424983,0.4647662,0.4570462,87.2,24,20,9.621398,800,103.1779,6.799523,5.056280762,-30.4974396,-110.333826,-79.3963864,5.407386389
23470,20000.08,0.6409836,0.6412677,0.4398966,0.4581471,0.4528549,62.7,24,20,9.621398,800,103.1779,6.926593,5.076594238,-28.6747938,-110.558844,-81.4440502,5.429579633
29610,20001.97,0.6385534,0.638072,0.4424444,0.4617888,0.456469,54.7,24,20,9.621398,800,103.1779,6.984725,5.087992676,-28.3747698,-110.333826,-81.5190562,5.442032859
35751,19998.35,0.6419659,0.6426657,0.4422908,0.4627099,0.4545667,49.5,24,20,9.621398,800,103.1779,6.875529,4.610095215,-28.0297422,-110.933874,-82.4641318,4.919911739
41892,20002.68,0.6406988,0.6404015,0.4461848,0.4645312,0.4573958,45,24,20,9.621398,800,103.1779,6.764052,5.195015625,-27.9547362,-111.533922,-83.1391858,5.558959494
48034,20001.77,0.6330782,0.6316426,0.4379808,0.4571099,0.453037,42.6,24,20,9.621398,800,103.1779,6.614918,5.095286133,-28.0672452,-110.033802,-81.5265568,5.450001238
54173,19998.15,0.631513,0.6317553,0.4353136,0.4522848,0.4473413,42.7,24,20,9.621398,800,103.1779,6.669346,4.160681152,-27.8872308,-108.908712,-80.5814812,4.428909814
60313,19999.96,0.6263024,0.6266623,0.4350545,0.4533856,0.4470627,43.8,24,20,9.621398,800,103.1779,6.697798,5.140001465,-27.8047242,-109.88379,-81.6390658,5.498854436
66454,20002.3,0.6259599,0.6250118,0.4350524,0.4544414,0.4483224,44.3,24,20,9.621398,800,103.1779,6.657887,5.036089355,-28.1197494,-109.208736,-80.6489866,5.385326511
72594,20000.43,0.6207111,0.6212575,0.4296987,0.449018,0.4439396,42.7,24,20,9.621398,800,103.1779,6.609111,5.099640625,-27.9997398,-109.50876,-81.0690202,5.454758686
84876,20003.12,0.6182246,0.6182977,0.425467,0.4463046,0.4387641,43.6,24,20,9.621398,800,103.1779,6.312884,5.008290527,-27.2421792,-108.833706,-81.1515268,5.354955236
91016,20001.97,0.6195676,0.6192887,0.424836,0.4453492,0.4398765,43.9,24,20,9.621398,800,103.1779,6.410097,5.087807129,-27.4371948,-108.608688,-80.7314932,5.441830142
97157,19999.09,0.6205837,0.6208044,0.4307117,0.4476095,0.4419373,44.7,24,20,9.621398,800,103.1779,6.589459,5.007645996,-27.6097086,-108.308664,-80.2589554,5.354251061
103297,20001.16,0.6183507,0.6183367,0.4256962,0.4443378,0.4367545,42.2,24,20,9.621398,800,103.1779,6.561237,5.009116699,-27.6697134,-108.233658,-80.1239446,5.35585786
109427,20001.97,0.6187507,0.6180602,0.4279128,0.44388,0.4403409,41.9,24,20,9.621398,800,103.1779,6.516844,5.044526855,-27.8122248,-108.308664,-80.0564392,5.3945448
115553,20000.15,0.6192239,0.619234,0.4272414,0.4460178,0.4395836,44.5,24,20,9.621398,800,103.1779,6.669267,5.160216797,-27.0846666,-108.233658,-80.7089914,5.520940453
121688,19999.4,0.6199348,0.6198162,0.4298145,0.4485984,0.4421115,44.3,24,20,9.621398,800,103.1779,6.737835,5.164537109,-27.1821744,-107.483598,-79.8614236,5.525660559
128266,20000.97,0.6161548,0.6157943,0.4278701,0.4464274,0.4400212,41.3,24,20,9.621398,800,103.1779,6.627003,4.780835449,-26.7996438,-107.333586,-80.0939422,5.106451927
135273,19999.97,0.6172478,0.618007,0.4269041,0.4438111,0.4388845,45.8,24,20,9.621398,800,103.1779,6.272001,5.098921875,-27.1671732,-108.608688,-81.0015148,5.453973424
142280,20000.74,0.6164875,0.6169522,0.426289,0.4463691,0.4399056,40.5,24,20,9.621398,800,103.1779,6.465577,5.181423828,-26.6121288,-107.183574,-80.1314452,5.54410994
149268,20000.32,0.615113,0.6150792,0.4240109,0.4426117,0.4365745,46.5,24,20,9.621398,800,103.1779,6.31237,5.008810059,-26.0195814,-106.13349,-79.6739086,5.355522843
