Time (ms),Motor speed (rpm),BLDC Q curent for monitoring,Filtered Q current (A),BLDC Ph A amps (abs) (A),BLDC Ph B amps (abs) (A),BLDC Ph C amps (abs) (A),Purge pressure (mHg),ivp purge temperature (C),Purge add flow rate (mlph),Purge add speed (rpm),Purge circulate flow rate (mlph),Purge circulate speed (rpm),BLDC watts (W),Flow_Original (lpm),Input pressure (mmHg),Output pressure (mmHg),Net pressure (mmHg),Flow (lpm)
17319,19999.61,0.6770921,0.6768935,0.4675787,0.4872859,0.481943,159.7,27.1,20,9.621398,800,103.1779,7.155702,0,5.2954236,65.705256,68.9698324,0
23459,20003.52,0.6690033,0.6689101,0.4642999,0.4830802,0.4760195,162.2,27.1,20,9.621398,800,103.1779,6.854506,0,5.4304344,65.780262,68.9098276,0
29600,19996.67,0.6697191,0.6691211,0.4593437,0.4784075,0.4731793,166.7,27.1,20,9.621398,800,103.1779,6.800823,0,5.5804464,65.330226,68.3097796,0
35728,20000.05,0.6668461,0.6672801,0.4615823,0.4817705,0.4736306,168.5,27,20,9.621398,800,103.1779,6.85368,0,5.5204416,65.25522,68.2947784,0
41866,19999.95,0.6626725,0.6627551,0.4598195,0.4783234,0.4697681,175.5,27,20,9.621398,800,103.1779,6.907538,0.064126266,5.5279422,64.055124,67.0871818,0.044317366
48007,20001.18,0.6582833,0.6577826,0.4563509,0.4740672,0.4674898,170.9,27,20,9.621398,800,103.1779,6.744164,0.260090363,5.5654452,61.729938,64.7244928,0.240281463
54148,19998.98,0.6577182,0.6584561,0.4573771,0.4739368,0.4684042,174.3,27,20,9.621398,800,103.1779,6.856616,0.381629181,5.3854308,59.62977,62.8043392,0.361820281
60281,19998.04,0.6548981,0.6555119,0.4507427,0.4723086,0.4656259,172.5,27,20,9.621398,800,103.1779,6.957412,0.634483337,4.9203936,55.12941,58.7690164,0.614674437
66413,19998.61,0.6479476,0.6490757,0.4452623,0.4646282,0.4600262,170,27,20,9.621398,800,103.1779,6.701906,1.035379272,4.1028282,46.50372,50.9608918,1.035379272
72554,19999.71,0.6517298,0.6511436,0.4469296,0.4697865,0.464109,161,27,20,9.621398,800,103.1779,6.706663,1.195865356,3.5852868,43.278462,48.2531752,1.195865356
78681,19998.57,0.6497755,0.649313,0.4493209,0.4672489,0.4633698,159.7,27,20,9.621398,800,103.1779,6.711617,1.342065186,3.1352508,39.75318,45.1779292,1.342065186
84819,19999.3,0.6479182,0.6487274,0.446707,0.4654619,0.4592105,152.8,26.9,20,9.621398,800,103.1779,6.873373,1.588634277,2.137671,32.927634,39.349963,1.618850953
90953,19999.88,0.6467428,0.6463223,0.4466621,0.4638546,0.4574952,148.2,26.9,20,9.621398,800,103.1779,6.638723,1.817509155,1.2225978,25.652052,32.9894542,1.868905447
97085,20000.27,0.6409928,0.6409175,0.4418782,0.4587069,0.4536004,148.7,26.9,20,9.621398,800,103.1779,6.920404,2.012978394,0.3075246,18.676494,26.9289694,2.082463011
103221,20001.58,0.635538,0.6346791,0.4404607,0.4581068,0.4518322,143.8,26.9,20,9.621398,800,103.1779,6.827103,2.196321045,-0.7200576,12.826026,22.1060836,2.282771818
