Time,Time (ms),Motor speed (rpm),BLDC Q curent for monitoring,Filtered Q current (A),BLDC Ph A amps (abs) (A),BLDC Ph B amps (abs) (A),BLDC Ph C amps (abs) (A),Purge pressure (mHg),ivp purge temperature (C),Purge add flow rate (mlph),Purge add speed (rpm),Purge circulate flow rate (mlph),Purge circulate speed (rpm),BLDC watts (W),Flow_Original (lpm),Input pressure (mmHg),Output pressure (mmHg),Net pressure (mmHg),Flow (lpm),,,,
Mon Jan 30 2023,17317,20002.18,0.6563354,0.655605,0.4523532,0.4711682,0.4654158,198.5,24.2,20,9.621398,800,103.1779,6.953728,0,3.5102808,67.280382,66.7001012,0,,,,
Mon Jan 30 2023,23445,20003.32,0.6544331,0.6547278,0.4527871,0.472393,0.4669973,195.1,24.2,20,9.621398,800,103.1779,6.811239,0,3.6227898,67.13037,66.4375802,0,,,,
Mon Jan 30 2023,29582,20000.97,0.6592786,0.6591722,0.4542342,0.4749592,0.4673359,200.2,24.2,20,9.621398,800,103.1779,6.93996,0.030434008,3.6602928,67.580406,66.8501132,0.010625108,,,,
Mon Jan 30 2023,35722,20000.78,0.6578044,0.6572674,0.4563744,0.4743592,0.4704559,195.7,24.2,20,9.621398,800,103.1779,6.758501,0.031827242,3.6527922,67.430394,66.7076018,0.012018342,,,,
Mon Jan 30 2023,41858,19999.87,0.6582407,0.6583469,0.4570904,0.4732207,0.4675452,198.7,24.2,20,9.621398,800,103.1779,6.946417,0,3.6602928,67.355388,66.6250952,0,,,,
Mon Jan 30 2023,47999,20000.78,0.6527174,0.6523637,0.4521481,0.4705858,0.46246,197.6,24.2,20,9.621398,800,103.1779,6.924148,0.208238586,3.5552844,65.105208,64.4799236,0.188429686,,,,
Mon Jan 30 2023,54140,19998.92,0.6510523,0.650332,0.45233,0.4690716,0.4635048,195.6,24.2,20,9.621398,800,103.1779,6.812991,0.475571136,3.2477598,61.279902,60.9621422,0.455762236,,,,
Mon Jan 30 2023,60280,20000.73,0.6500457,0.6493239,0.448795,0.4680646,0.4625498,184.3,24.2,20,9.621398,800,103.1779,6.791098,0.724588074,2.3926914,55.654452,56.1917606,0.704779174,,,,
Mon Jan 30 2023,66421,20001.11,0.644841,0.6448774,0.4482524,0.4690958,0.4618791,180.2,24.2,20,9.621398,800,103.1779,6.653586,0.994190186,2.2201776,50.479038,51.1888604,0.994190186,,,,
Mon Jan 30 2023,72562,20003.8,0.6421584,0.6417971,0.4443654,0.462257,0.4579969,174.6,24.2,20,9.621398,800,103.1779,6.793258,1.298439941,0.8400672,43.653492,45.7434248,1.298439941,,,,
