Time,Time (ms),Motor speed (rpm),BLDC Q curent for monitoring,Filtered Q current (A),BLDC Ph A amps (abs) (A),BLDC Ph B amps (abs) (A),BLDC Ph C amps (abs) (A),Purge pressure (mHg),ivp purge temperature (C),Purge add flow rate (mlph),Purge add speed (rpm),Purge circulate flow rate (mlph),Purge circulate speed (rpm),BLDC watts (W),Flow_Original (lpm),Input pressure (mmHg),Output pressure (mmHg),Net pressure (mmHg),Flow (lpm)
Sun Jan 29 2023,17316,20001.14,0.6291842,0.6303053,0.4320654,0.450989,0.4484622,117.6,27.8,20,9.621398,800,103.1779,6.395171,3.905843994,-19.7490798,-55.279422,-33.3603422,4.150490543
Sun Jan 29 2023,23453,20001.09,0.6231039,0.6233009,0.43077,0.4509665,0.446497,99.9,27.7,20,9.621398,800,103.1779,6.511681,3.922747803,-19.7490798,-55.729458,-33.8103782,4.168958596
Sun Jan 29 2023,29594,19999.45,0.6192108,0.6189133,0.428687,0.444481,0.4412975,97.3,27.6,20,9.621398,800,103.1779,6.404435,3.910645752,-19.7190774,-55.054404,-33.1653266,4.155736646
Sun Jan 29 2023,35736,20001.91,0.6145747,0.6139846,0.4277498,0.4459297,0.438709,94.6,27.6,20,9.621398,800,103.1779,6.440968,3.951038818,-19.9065924,-55.50444,-33.4278476,4.199867604
Sun Jan 29 2023,41873,20001.97,0.6149753,0.61607,0.423921,0.4399017,0.4344126,91.5,27.5,20,9.621398,800,103.1779,6.342422,3.907023193,-19.87659,-55.279422,-33.232832,4.151778863
Sun Jan 29 2023,48016,20001.61,0.613158,0.6131055,0.421764,0.4422498,0.4334013,89.2,27.4,20,9.621398,800,103.1779,6.446076,3.922037598,-19.5915672,-54.829386,-33.0678188,4.16818267
Sun Jan 29 2023,54141,20000.93,0.6115583,0.6120284,0.4259413,0.4437898,0.4377855,87.7,27.3,20,9.621398,800,103.1779,6.522604,3.923021729,-19.6065684,-56.554524,-34.7779556,4.16925787
Sun Jan 29 2023,60281,20000.38,0.6145224,0.6144388,0.425521,0.4422208,0.4377598,92.4,27.3,20,9.621398,800,103.1779,6.468748,3.91045166,-19.651572,-55.87947,-34.057898,4.155524593
Sun Jan 29 2023,66423,19998.45,0.6157172,0.6163475,0.4249454,0.4421802,0.4380785,89.9,27.2,20,9.621398,800,103.1779,6.533889,3.909359131,-19.464057,-55.50444,-33.870383,4.154330963
Sun Jan 29 2023,72563,19996.66,0.6131476,0.6116329,0.4198307,0.4410987,0.4332883,86.4,27.2,20,9.621398,800,103.1779,6.299922,3.932777344,-19.3965516,-55.12941,-33.5628584,4.17991625
Sun Jan 29 2023,78704,19998.43,0.6144496,0.6148722,0.4230658,0.4384525,0.4363732,87.8,27.1,20,9.621398,800,103.1779,6.11536,3.895689209,-19.5990678,-54.904392,-33.1353242,4.139396055
Sun Jan 29 2023,84831,20000.83,0.6112244,0.6121961,0.4254555,0.4387003,0.4377132,90.9,27.1,20,9.621398,800,103.1779,6.198946,3.91593042,-19.3740498,-54.829386,-33.2853362,4.161510346
Sun Jan 29 2023,90985,20001.03,0.6123191,0.6115723,0.4228372,0.443787,0.4354891,86.4,27,20,9.621398,800,103.1779,6.296572,3.876247559,-19.5465636,-54.75438,-33.0378164,4.118155314
