Time,Time (ms),Motor speed (rpm),BLDC Q curent for monitoring,Filtered Q current (A),BLDC Ph A amps (abs) (A),BLDC Ph B amps (abs) (A),BLDC Ph C amps (abs) (A),Purge pressure (mHg),ivp purge temperature (C),Purge add flow rate (mlph),Purge add speed (rpm),Purge circulate flow rate (mlph),Purge circulate speed (rpm),BLDC watts (W),Flow (lpm),Input pressure (mmHg),Output pressure (mmHg),Net pressure (mmHg)
Wed Nov 16 2022,17313,19999.87,0.6345866,0.6348703,0.4409902,0.4537723,0.4576927,0.6543,28.3,20,9.621398,800,103.1779,6.382995,5.120753968,47.87597656,34.97558594,-12.56039063
Wed Nov 16 2022,23441,19998.34,0.6333522,0.6333371,0.4397615,0.4522624,0.4558555,0.6398,28.2,20,9.621398,800,103.1779,6.417611,5.116357143,48.2421875,34.51171875,-13.39046875
Wed Nov 16 2022,29574,19998.34,0.6325151,0.6327192,0.4364718,0.448633,0.4505064,0.6383,28.2,20,9.621398,800,103.1779,6.255744,5.102952381,48.60839844,34.74365234,-13.52474609
Wed Nov 16 2022,35706,19999.69,0.6324924,0.6330248,0.4394626,0.4525203,0.4543099,0.5985,28.2,20,9.621398,800,103.1779,6.38405,5.107444444,48.2421875,35.43945313,-12.46273438
Wed Nov 16 2022,41844,20000.33,0.6289847,0.6287106,0.4377927,0.4500527,0.454688,0.5964,28.1,20,9.621398,800,103.1779,6.257179,5.100428571,48.85253906,34.51171875,-14.00082031
Wed Nov 16 2022,47981,19998.57,0.6304381,0.6301745,0.4379305,0.4495,0.4549599,0.574,28.1,20,9.621398,800,103.1779,6.164526,5.107746032,47.87597656,34.04785156,-13.488125
Wed Nov 16 2022,54111,20002.32,0.6297204,0.6291222,0.4395075,0.4504265,0.4547947,0.5699,28,20,9.621398,800,103.1779,6.013122,5.097468254,48.97460938,34.74365234,-13.89095703
Wed Nov 16 2022,60240,20002.15,0.6285279,0.6283633,0.4373368,0.4503089,0.4538303,0.6057,28,20,9.621398,800,103.1779,6.178932,5.092395161,48.2421875,35.43945313,-12.46273438
Wed Nov 16 2022,66368,19998.18,0.6306986,0.629908,0.4357302,0.4468234,0.4522084,0.5586,27.9,20,9.621398,800,103.1779,6.298748,5.107920635,48.73046875,35.20751953,-13.18294922
Wed Nov 16 2022,72502,19998.34,0.6299359,0.6303223,0.4353893,0.446145,0.4501616,0.5839,27.8,20,9.621398,800,103.1779,6.649559,5.094714286,47.50976563,34.74365234,-12.42611328
Wed Nov 16 2022,78641,19998.15,0.6286956,0.6295495,0.4377721,0.4484766,0.4529531,0.5925,27.8,20,9.621398,800,103.1779,6.530626,5.094809917,48.60839844,36.13525391,-12.13314453
Wed Nov 16 2022,84774,20000.33,0.629307,0.6288934,0.4361494,0.4491189,0.4541771,0.57,27.7,20,9.621398,800,103.1779,6.077707,5.087567797,49.70703125,36.3671875,-12.99984375
Wed Nov 16 2022,90909,19997.74,0.6278292,0.6292456,0.4342867,0.4453356,0.449429,0.5946,27.7,20,9.621398,800,103.1779,6.076027,5.089730159,48.97460938,36.83105469,-11.80355469
Wed Nov 16 2022,97037,19998.34,0.6274073,0.6275507,0.434346,0.4468332,0.4506663,0.5842,27.6,20,9.621398,800,103.1779,6.091677,5.081904762,49.95117188,36.59912109,-13.01205078
Wed Nov 16 2022,103176,20001.76,0.62745,0.6271303,0.4352092,0.448524,0.4539577,0.5923,27.6,20,9.621398,800,103.1779,6.298766,5.081253968,48.2421875,36.59912109,-11.30306641
Wed Nov 16 2022,109317,20000.28,0.6279353,0.6281836,0.4380256,0.4522254,0.4537184,0.588,27.6,20,9.621398,800,103.1779,6.192122,5.060896825,50.43945313,37.29492188,-12.80453125
