Time,Time (ms),Motor speed (rpm),BLDC Q curent for monitoring,Filtered Q current (A),BLDC Ph A amps (abs) (A),BLDC Ph B amps (abs) (A),BLDC Ph C amps (abs) (A),Purge pressure (mHg),ivp purge temperature (C),Purge add flow rate (mlph),Purge add speed (rpm),Purge circulate flow rate (mlph),Purge circulate speed (rpm),BLDC watts (W),Flow (lpm),Input pressure (mmHg),Output pressure (mmHg),Net pressure (mmHg),
Tue Dec 06 2022,17293,20000.33,0.7299513,0.7293034,0.5043811,0.5172741,0.5198204,0.4576,26,20,9.621398,800,103.1779,6.944545,-0.0012,99.26757813,201.5039063,102.5263281,
Tue Dec 06 2022,23432,19998.48,0.7335218,0.7335972,0.5093184,0.5220893,0.5238175,0.468,26,20,9.621398,800,103.1779,7.282879,0.000793651,99.26757813,201.5039063,102.5263281,
Tue Dec 06 2022,29564,20002.32,0.7313308,0.7305799,0.5082046,0.5213236,0.5237345,0.4662,26,20,9.621398,800,103.1779,7.198657,0.005110169,99.26757813,201.5039063,102.5263281,
Tue Dec 06 2022,35696,20000.71,0.7263107,0.7255823,0.5063782,0.5197207,0.5241944,0.4686,26,20,9.621398,800,103.1779,7.599723,0.004380952,99.26757813,200.8081055,101.8305273,
Tue Dec 06 2022,41824,19999.12,0.726841,0.7266256,0.5040596,0.5189664,0.5204906,0.4543,26,20,9.621398,800,103.1779,7.303868,-0.000293651,99.26757813,201.2719727,102.2943945,
Tue Dec 06 2022,47954,19996.73,0.723727,0.7242777,0.5028871,0.5158941,0.5161678,0.4778,26,20,9.621398,800,103.1779,7.281792,0.002039683,99.26757813,201.2719727,102.2943945,
Tue Dec 06 2022,54089,20002.32,0.7209534,0.7208498,0.5017891,0.5140107,0.5186385,0.4698,26,20,9.621398,800,103.1779,7.287697,0.001968254,99.26757813,201.0400391,102.0624609,
Tue Dec 06 2022,60219,20002.75,0.7193338,0.7187039,0.4994014,0.5129238,0.5168065,0.472,26,20,9.621398,800,103.1779,7.34628,0.001048387,99.26757813,201.0400391,102.0624609,
Tue Dec 06 2022,66355,20000.33,0.7148362,0.715085,0.4986888,0.5104198,0.5139715,0.4949,26,20,9.621398,800,103.1779,7.365734,0.003547619,99.26757813,201.5039063,102.5263281,
Tue Dec 06 2022,72493,19998.32,0.7151324,0.7148609,0.4954394,0.5081524,0.5092414,0.4912,26,20,9.621398,800,103.1779,7.409733,0.001825397,99.26757813,200.8081055,101.8305273,
Tue Dec 06 2022,78622,20000.61,0.7175348,0.7173805,0.497064,0.509894,0.5142341,0.48,26,20,9.621398,800,103.1779,7.063859,0.002566667,99.26757813,200.8081055,101.8305273,
Tue Dec 06 2022,84761,20000.73,0.713403,0.713306,0.4927701,0.5047444,0.5094632,0.484,26,20,9.621398,800,103.1779,7.240862,0.050266129,99.26757813,201.5039063,102.5263281,
Tue Dec 06 2022,90887,19998.92,0.709891,0.7095292,0.4925751,0.5059533,0.5084199,0.4977,26,20,9.621398,800,103.1779,6.975089,0.181611111,99.26757813,199.1845703,100.2069922,
Tue Dec 06 2022,97011,20000.23,0.7011018,0.701406,0.4841875,0.4991426,0.4995796,0.5056,26,20,9.621398,800,103.1779,7.073158,0.378365079,99.26757813,195.9375,96.95992188,
Tue Dec 06 2022,103150,19996.35,0.7100407,0.7106804,0.4915807,0.5045514,0.5085141,0.5077,26,20,9.621398,800,103.1779,6.940403,0.47434127,99.26757813,194.777832,95.80025391,
Tue Dec 06 2022,109284,20002.32,0.7040495,0.7038655,0.4861853,0.5000911,0.5026597,0.4987,26,20,9.621398,800,103.1779,6.879532,0.708309524,99.26757813,188.2836914,89.30611328,
Tue Dec 06 2022,115418,19998.33,0.7033966,0.7040071,0.4890736,0.5039761,0.5069703,0.4798,26,20,9.621398,800,103.1779,6.92631,0.907616,99.26757813,183.8769531,84.899375,
Tue Dec 06 2022,121543,19998.46,0.6943265,0.6940041,0.4816166,0.4950635,0.4962456,0.4723,26,20,9.621398,800,103.1779,6.975608,1.076952,99.26757813,179.934082,80.95650391,
Tue Dec 06 2022,128169,20000.57,0.6874208,0.6876062,0.477891,0.4901956,0.4939864,0.4753,26,20,9.621398,800,103.1779,6.793303,1.33476,99.26757813,170.6567383,71.67916016,
Tue Dec 06 2022,134303,19997.04,0.6818897,0.6823657,0.4714707,0.4835772,0.4881562,0.4677,26,20,9.621398,800,103.1779,6.598711,1.597611111,99.26757813,161.3793945,62.40181641,
Tue Dec 06 2022,141179,20000.33,0.6777667,0.6777405,0.4720218,0.4828922,0.4862897,0.4658,26,20,9.621398,800,103.1779,6.960505,1.709936508,99.26757813,157.4365234,58.45894531,
Tue Dec 06 2022,148179,20000.25,0.6749224,0.6752611,0.4697228,0.482394,0.4850452,0.4623,26.1,20,9.621398,800,103.1779,6.82386,1.876488189,99.26757813,150.9423828,51.96480469,
Tue Dec 06 2022,155169,19998.68,0.6689631,0.6688818,0.462234,0.477903,0.4796523,0.4541,26.1,20,9.621398,800,103.1779,6.972184,2.11189916,99.26757813,140.5053711,41.52779297,
Tue Dec 06 2022,162177,20000.96,0.663635,0.6630189,0.4594735,0.473306,0.475271,0.4528,26.1,20,9.621398,800,103.1779,6.747029,2.259309524,99.26757813,133.0834961,34.10591797,
Tue Dec 06 2022,169167,20000.33,0.6615683,0.6615855,0.4609218,0.4703677,0.4746304,0.4406,26.1,20,9.621398,800,103.1779,6.332473,2.406065574,99.26757813,126.5893555,27.61177734,
Tue Dec 06 2022,176166,19998.29,0.6602715,0.6604266,0.4583681,0.4700243,0.4728358,0.4333,26.1,20,9.621398,800,103.1779,6.471875,2.558134921,99.26757813,120.3271484,21.34957031,
Tue Dec 06 2022,183172,19999.51,0.6554322,0.655335,0.4548965,0.4648626,0.4705677,0.4153,26.1,20,9.621398,800,103.1779,6.163929,2.688442623,96.94824219,114.296875,17.63863281,
Tue Dec 06 2022,190168,19998.22,0.6518919,0.6519878,0.4514151,0.4643243,0.4690359,0.404,26.1,20,9.621398,800,103.1779,6.699808,2.863314961,93.40820313,104.3237305,11.20552734,
Tue Dec 06 2022,197167,19996.7,0.6479975,0.6487998,0.4489223,0.459147,0.4628105,0.4107,26.1,20,9.621398,800,103.1779,6.358488,2.9855,90.11230469,99.68505859,9.862753906,
Tue Dec 06 2022,203306,19998.47,0.6483594,0.6484215,0.4488997,0.4637265,0.4659568,0.3955,26.2,20,9.621398,800,103.1779,6.734645,3.061975806,88.28125,96.20605469,8.214804687,
Tue Dec 06 2022,210168,19996.35,0.6451057,0.6458837,0.4448052,0.4600317,0.4633167,0.3912,26.2,20,9.621398,800,103.1779,6.506674,3.172104839,85.3515625,91.56738281,6.505820312,
Tue Dec 06 2022,217179,19998.34,0.643578,0.6437476,0.445898,0.4581925,0.462838,0.39,26.2,20,9.621398,800,103.1779,6.463983,3.281492063,82.17773438,85.07324219,3.185507812,
Tue Dec 06 2022,224173,19999.9,0.6425386,0.6422116,0.4462622,0.4591295,0.4599261,0.3863,26.2,20,9.621398,800,103.1779,6.624419,3.350238095,80.22460938,82.29003906,2.355429687,
Tue Dec 06 2022,231170,19998.26,0.6406829,0.6409708,0.4449789,0.4585196,0.4604392,0.3875,26.2,20,9.621398,800,103.1779,6.458578,3.465436508,77.41699219,76.25976563,-0.867226563,
Tue Dec 06 2022,238170,20000.26,0.6402918,0.6397701,0.4431547,0.4570939,0.4614857,0.3783,26.2,20,9.621398,800,103.1779,6.260334,3.519304,76.80664063,73.94042969,-2.576210938,
Tue Dec 06 2022,245166,19998.34,0.6414255,0.6415134,0.4454302,0.4583344,0.4609353,0.3653,26.2,20,9.621398,800,103.1779,6.067684,3.606716667,73.6328125,70.22949219,-3.113320313,
Tue Dec 06 2022,252168,19998.94,0.6418068,0.6422132,0.4471755,0.4573404,0.4621124,0.3665,26.2,20,9.621398,800,103.1779,6.478651,3.659642857,71.6796875,66.75048828,-4.639199219,
Tue Dec 06 2022,259168,20000.04,0.6394796,0.6395963,0.4404425,0.4545464,0.4573206,0.3588,26.3,20,9.621398,800,103.1779,6.287148,3.728235294,71.31347656,64.89501953,-6.128457031,
Tue Dec 06 2022,266178,20000.33,0.6486362,0.6485959,0.4503231,0.4604258,0.4643379,0.363,26.2,20,9.621398,800,103.1779,6.76718,3.788830645,68.13964844,60.25634766,-7.593300781,
Tue Dec 06 2022,273179,19996.35,0.6524886,0.6531904,0.4503212,0.4641441,0.4652709,0.3795,26.3,20,9.621398,800,103.1779,6.580429,3.771569106,69.48242188,59.79248047,-9.399941406,
Tue Dec 06 2022,280178,19998.34,0.653659,0.6536469,0.4519623,0.4671949,0.4696977,0.3749,26.3,20,9.621398,800,103.1779,6.771542,3.790576,68.26171875,56.54541016,-11.42630859,
Tue Dec 06 2022,287181,20001.71,0.6550876,0.6551052,0.4590462,0.4687764,0.4732715,0.3728,26.3,20,9.621398,800,103.1779,6.524591,3.828365079,67.28515625,53.99414063,-13.00101563,
Tue Dec 06 2022,294179,19998.58,0.6551237,0.6552469,0.4562274,0.4670563,0.4729588,0.3664,26.3,20,9.621398,800,103.1779,6.554502,3.853547619,66.55273438,51.90673828,-14.35599609,
Tue Dec 06 2022,301172,20000.12,0.6563498,0.6563236,0.453555,0.4676591,0.4707206,0.3641,26.3,20,9.621398,800,103.1779,6.36466,3.87468254,66.67480469,50.28320313,-16.10160156,
Tue Dec 06 2022,308165,20000.35,0.6540693,0.6542696,0.4569084,0.4683062,0.4705819,0.3592,26.3,20,9.621398,800,103.1779,6.457128,3.900283465,64.35546875,49.12353516,-14.94193359,
